LGEQ01000087.1 Archaeoglobus fulgidus isolate 49_95 PW_scaffold_902, whole genome shotgun sequence
LGEQ01000051.1 Archaeoglobus fulgidus isolate 49_95 PW_scaffold_304, whole genome shotgun sequence
LGEQ01000034.1 Archaeoglobus fulgidus isolate 49_95 PW_scaffold_132, whole genome shotgun sequence
LGEQ01000095.1 Archaeoglobus fulgidus isolate 49_95 PW_scaffold_1504, whole genome shotgun sequence
LGEQ01000086.1 Archaeoglobus fulgidus isolate 49_95 PW_scaffold_895, whole genome shotgun sequence
LGEQ01000027.1 Archaeoglobus fulgidus isolate 49_95 PW_scaffold_98, whole genome shotgun sequence
NC_000913.3 Escherichia coli str. K-12 substr. MG1655, complete genome
NC_003197.1 Salmonella enterica subsp. enterica serovar Typhimurium str. LT2 chromosome, complete genome
NC_003277.1 Salmonella enterica subsp. enterica serovar Typhimurium str. LT2 plasmid pSLT, complete sequence
NC_002932.3 Chlorobium tepidum TLS chromosome, complete genome
NC_003551.1 Methanopyrus kandleri AV19, complete genome
NC_003364.1 Pyrobaculum aerophilum str. IM2 chromosome, complete genome
NC_003413.1 Pyrococcus furiosus DSM 3638, complete genome
NC_003552.1 Methanosarcina acetivorans str. C2A, complete genome
NC_002939.5 Geobacter sulfurreducens PCA chromosome, complete genome
NC_005213.1 Nanoarchaeum equitans Kin4-M chromosome, complete genome
NC_002967.9 Treponema denticola ATCC 35405 chromosome, complete genome
NC_004757.1 Nitrosomonas europaea ATCC 19718, complete genome
NC_003273.1 Nostoc sp. PCC 7120 plasmid pCC7120delta DNA, complete sequence
NC_003276.1 Nostoc sp. PCC 7120 plasmid pCC7120alpha DNA, complete genome
NC_003267.1 Nostoc sp. PCC 7120 plasmid pCC7120gamma DNA, complete sequence
NC_003272.1 Nostoc sp. PCC 7120 DNA, complete genome
NC_003240.1 Nostoc sp. PCC 7120 plasmid pCC7120beta DNA, complete sequence
NC_003241.1 Nostoc sp. PCC 7120 plasmid pCC7120zeta DNA, complete sequence
NC_003270.1 Nostoc sp. PCC 7120 plasmid pCC7120epsilon DNA, complete sequence
NC_012489.1 Gemmatimonas aurantiaca T-27 DNA, complete genome
NC_010729.1 Porphyromonas gingivalis ATCC 33277 DNA, complete genome
NC_004663.1 Bacteroides thetaiotaomicron VPI-5482 chromosome, complete genome
NC_004703.1 Bacteroides thetaiotaomicron VPI-5482 plasmid p5482, complete sequence
NC_000961.1 Pyrococcus horikoshii OT3 DNA, complete genome
NC_003106.2 Sulfolobus tokodaii str. 7 DNA, complete genome
NC_005791.1 Methanococcus maripaludis strain S2, complete sequence
NC_003911.12 Ruegeria pomeroyi DSS-3, complete genome
NC_006569.1 Ruegeria pomeroyi DSS-3 megaplasmid, complete sequence
NC_008639.1 Chlorobium phaeobacteroides DSM 266, complete genome
NC_008741.1 Desulfovibrio vulgaris DP4 plasmid pDVUL01, complete sequence
NC_008751.1 Desulfovibrio vulgaris DP4, complete genome
NC_009073.1 Pyrobaculum calidifontis JCM 11548, complete genome
NC_009012.1 Clostridium thermocellum ATCC 27405, complete genome
NC_009337.1 Chlorobium phaeovibrioides DSM 265, complete genome
NC_009135.1 Methanococcus maripaludis C5, complete genome
NC_009136.1 Methanococcus maripaludis C5 plasmid pMMC501, complete sequence
NC_009376.1 Pyrobaculum arsenaticum DSM 13514 chromosome, complete genome
NC_009380.1 Salinispora tropica CNB-440, complete genome
NC_009486.1 Thermotoga petrophila RKU-1, complete genome
NC_009776.1 Ignicoccus hospitalis KIN4/I, complete genome
NC_009973.1 Herpetosiphon aurantiacus DSM 785 plasmid pHAU01, complete sequence
NC_009972.1 Herpetosiphon aurantiacus DSM 785, complete genome
NC_009974.1 Herpetosiphon aurantiacus DSM 785 plasmid pHAU02, complete sequence
NC_010175.1 Chloroflexus aurantiacus J-10-fl chromosome, complete genome
NC_011978.1 Thermotoga neapolitana DSM 4359, complete genome
NC_010321.1 Thermoanaerobacter pseudethanolicus ATCC 33223, complete genome
NC_010483.1 Thermotoga sp. RQ2, complete genome
NC_010524.1 Leptothrix cholodnii SP-6, complete genome
NC_010655.1 Akkermansia muciniphila ATCC BAA-835, complete genome
NC_010730.1 Sulfurihydrogenibium sp. YO3AOP1, complete genome
NC_010803.1 Chlorobium limicola DSM 245, complete genome
NC_011060.1 Pelodictyon phaeoclathratiforme BU-1, complete genome
NC_011126.1 Hydrogenobaculum sp. Y04AAS1, complete genome
NC_012439.1 Persephonella marina EX-H1 plasmid, complete sequence
NC_012440.1 Persephonella marina EX-H1, complete genome
NC_011661.1 Dictyoglomus turgidum DSM 6724 chromosome, complete genome
NC_011663.1 Shewanella baltica OS223, complete genome
NC_011665.1 Shewanella baltica OS223 plasmid pS22303, complete sequence
NC_011664.1 Shewanella baltica OS223 plasmid pS22301, complete sequence
NC_011668.1 Shewanella baltica OS223 plasmid pS22302, complete sequence
NC_012037.1 Caldicelulosiruptor becscii DSM 6725 plasmid pATHE02, complete sequence
NC_012034.1 Caldicellulosiruptor bescii DSM 6725, complete genome
